TIME_ID|DAY_NAME|DAY_NUMBER_IN_WEEK|DAY_NUMBER_IN_MONTH|CALENDAR_WEEK_NUMBER|FISCAL_WEEK_NUMBER|WEEK_ENDING_DAY|WEEK_ENDING_DAY_ID|CALENDAR_MONTH_NUMBER|FISCAL_MONTH_NUMBER|CALENDAR_MONTH_DESC|CALENDAR_MONTH_ID|FISCAL_MONTH_DESC|FISCAL_MONTH_ID|DAYS_IN_CAL_MONTH|DAYS_IN_FIS_MONTH|END_OF_CAL_MONTH|END_OF_FIS_MONTH|CALENDAR_MONTH_NAME|FISCAL_MONTH_NAME|CALENDAR_QUARTER_DESC|CALENDAR_QUARTER_ID|FISCAL_QUARTER_DESC|FISCAL_QUARTER_ID|DAYS_IN_CAL_QUARTER|DAYS_IN_FIS_QUARTER|END_OF_CAL_QUARTER|END_OF_FIS_QUARTER|CALENDAR_QUARTER_NUMBER|FISCAL_QUARTER_NUMBER|CALENDAR_YEAR|CALENDAR_YEAR_ID|FISCAL_YEAR|FISCAL_YEAR_ID|DAYS_IN_CAL_YEAR|DAYS_IN_FIS_YEAR|END_OF_CAL_YEAR|END_OF_FIS_YEAR
01/01/1998|Thursday|4|1|1|1|04/01/1998|1484|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
02/01/1998|Friday|5|2|1|1|04/01/1998|1484|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
03/01/1998|Saturday|6|3|1|1|04/01/1998|1484|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
04/01/1998|Sunday|7|4|1|1|04/01/1998|1484|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
05/01/1998|Monday|1|5|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
06/01/1998|Tuesday|2|6|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
07/01/1998|Wednesday|3|7|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
08/01/1998|Thursday|4|8|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
09/01/1998|Friday|5|9|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
10/01/1998|Saturday|6|10|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
11/01/1998|Sunday|7|11|2|2|11/01/1998|1533|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
12/01/1998|Monday|1|12|3|3|18/01/1998|1581|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
13/01/1998|Tuesday|2|13|3|3|18/01/1998|1581|1|1|1998-01|1672|1998-01|1720|31|25|31/01/1998|25/01/1998|January|January|1998-01|1769|1998-01|1785|90|88|31/03/1998|29/03/1998|1|1|1998|1802|1998|1806|365|361|31/12/1998|27/12/1998
